treatment,No_of_taxa,Alignment_length,Parsimony_informative_sites,Missing_percent
phyluce,3,665,0,29.674
phyluce,12,587,57,14.495
phyluce,9,637,32,9.053
phyluce,4,286,3,10.927
phyluce,5,360,14,33.222
phyluce,13,589,43,17.03
phyluce,54,1002,70,20.679
phyluce,19,334,35,8.273
phyluce,6,451,11,9.867
phyluce,9,707,15,29.342
phyluce,6,216,9,9.877
phyluce,3,422,0,15.245
phyluce,4,655,8,8.702
phyluce,7,424,32,17.385
phyluce,3,371,0,19.317
phyluce,21,1158,102,28.415
phyluce,7,417,22,12.813
phyluce,6,469,10,8.92
phyluce,4,258,12,4.942
phyluce,16,846,82,20.693
phyluce,17,468,42,14.115
phyluce,3,968,0,22.383
phyluce,8,229,9,46.015
phyluce,11,398,23,20.854
phyluce,41,700,129,28.035
phyluce,6,555,20,12.913
phyluce,65,904,121,27.064
phyluce,26,797,72,10.134
phyluce,20,731,37,19.029
phyluce,62,1025,95,35.629
phyluce,5,735,4,19.537
phyluce,4,705,5,35.496
phyluce,24,1306,73,38.46
phyluce,59,1378,91,30.417
phyluce,29,1696,88,14.873
phyluce,28,921,38,7.988
phyluce,14,997,96,38.709
phyluce,64,536,74,12.512
phyluce,62,1302,93,43.339
phyluce,68,753,97,19.76
phyluce,58,969,115,19.811
phyluce,5,458,4,11.048
phyluce,13,510,42,13.122
phyluce,13,1689,50,23.259
phyluce,59,1536,144,47.54
phyluce,50,943,71,10.78
phyluce,6,421,6,18.606
phyluce,63,1028,110,46.671
phyluce,12,882,80,24.991
phyluce,11,943,38,19.011
phyluce,18,386,37,9.398
phyluce,52,883,95,25.666
phyluce,33,1874,103,63.019
phyluce,50,1235,124,44.617
phyluce,3,915,0,22.149
phyluce,62,1233,127,50.438
phyluce,3,371,0,6.649
phyluce,58,2462,99,72.551
phyluce,57,1001,102,38.812
phyluce,25,846,53,36.071
phyluce,5,344,34,6.337
phyluce,3,451,0,8.943
phyluce,4,320,5,12.969
phyluce,9,751,26,19.796
phyluce,67,749,80,20.923
phyluce,4,483,23,31.573
phyluce,5,928,24,16.379
phyluce,60,1035,84,39.451
phyluce,5,572,21,10.979
phyluce,10,872,25,25.401
phyluce,4,393,0,2.417
phyluce,3,1001,0,19.414
phyluce,3,1085,0,32.012
phyluce,13,703,36,12.988
phyluce,8,433,18,9.498
phyluce,22,1187,70,18.354
phyluce,56,856,58,13.182
phyluce,3,364,0,4.762
phyluce,60,1042,73,40.723
phyluce,12,277,25,15.554
phyluce,3,439,0,8.2
phyluce,3,1288,0,10.559
phyluce,22,879,43,21.083
phyluce,3,346,0,4.913
phyluce,7,916,32,21.335
phyluce,7,534,16,8.48
phyluce,6,836,27,44.378
phyluce,7,625,70,12.229
phyluce,3,526,0,19.962
phyluce,5,529,8,31.758
phyluce,5,529,5,17.089
phyluce,5,375,31,17.387
phyluce,3,559,0,2.504
phyluce,4,433,2,8.718
phyluce,4,530,4,6.745
phyluce,10,970,13,58.99
phyluce,5,345,16,10.087
phyluce,60,720,64,21.181
phyluce,63,835,89,18.831
