treatment,No_of_taxa,Alignment_length,Missing_percent,Parsimony_informative_sites
partial_noParalogs,72,299,40.454,29
partial_noParalogs,60,886,62.257,96
partial_noParalogs,62,387,7.339,55
partial_noParalogs,72,448,56.641,83
partial_noParalogs,72,444,28.735,56
partial_noParalogs,53,174,15.973,13
partial_noParalogs,64,306,6.48,40
partial_noParalogs,69,859,63.638,38
partial_noParalogs,71,682,54.277,65
partial_noParalogs,62,298,18.586,29
partial_noParalogs,69,753,9.874,58
partial_noParalogs,70,616,43.054,180
partial_noParalogs,63,763,29.196,132
partial_noParalogs,71,714,55.202,48
partial_noParalogs,68,459,2.922,79
partial_noParalogs,72,627,49.09,62
partial_noParalogs,68,951,52.853,125
partial_noParalogs,71,781,65.229,69
partial_noParalogs,71,712,72.826,71
partial_noParalogs,71,318,6.378,44
partial_noParalogs,52,324,55.627,14
partial_noParalogs,73,1029,47.37,61
partial_noParalogs,57,2036,54.906,211
partial_noParalogs,73,1119,35.851,232
partial_noParalogs,71,403,56.845,46
partial_noParalogs,73,432,31.031,46
partial_noParalogs,73,681,44.391,83
partial_noParalogs,71,304,2.734,29
partial_noParalogs,71,301,30.892,25
partial_noParalogs,73,451,18.583,106
partial_noParalogs,69,228,27.517,51
partial_noParalogs,67,507,42.798,129
partial_noParalogs,56,843,67.514,30
partial_noParalogs,71,450,48.404,45
partial_noParalogs,63,648,52.094,125
partial_noParalogs,72,573,40.46,37
partial_noParalogs,68,370,7.353,52
partial_noParalogs,72,1473,65.677,158
partial_noParalogs,69,315,4.362,14
partial_noParalogs,58,639,39.501,82
partial_noParalogs,55,615,40.151,177
partial_noParalogs,52,1662,65.926,200
partial_noParalogs,66,450,52.828,72
partial_noParalogs,71,1535,52.335,157
partial_noParalogs,59,411,60.299,77
partial_noParalogs,63,1536,67.897,164
partial_noParalogs,70,459,29.972,31
partial_noParalogs,71,606,23.985,52
partial_noParalogs,71,1171,58.558,76
partial_noParalogs,72,963,69.873,97
partial_noParalogs,72,708,41.172,132
partial_noParalogs,72,608,43.983,107
partial_noParalogs,63,348,46.059,51
partial_noParalogs,68,1929,55.953,258
partial_noParalogs,72,385,17.284,98
partial_noParalogs,70,454,43.87,53
partial_noParalogs,65,147,1.256,3
partial_noParalogs,68,604,45.634,38
partial_noParalogs,73,781,55.5,142
partial_noParalogs,52,324,8.155,75
partial_noParalogs,70,1017,53.397,116
partial_noParalogs,72,616,16.714,219
partial_noParalogs,54,197,26.509,19
partial_noParalogs,57,132,0.638,10
partial_noParalogs,72,285,19.649,33
partial_noParalogs,72,399,54.626,58
partial_noParalogs,71,450,39.08,35
partial_noParalogs,72,1110,50.195,46
partial_noParalogs,72,1547,49.289,152
partial_noParalogs,71,888,65.579,131
partial_noParalogs,72,678,53.036,35
partial_noParalogs,70,1234,76.449,77
partial_noParalogs,65,147,1.256,11
partial_noParalogs,72,735,26.712,87
partial_noParalogs,72,348,38.314,36
partial_noParalogs,72,426,34.341,30
partial_noParalogs,73,459,14.066,50
partial_noParalogs,61,212,37.388,20
partial_noParalogs,69,588,28.705,61
partial_noParalogs,52,528,37.839,25
partial_noParalogs,71,606,41.361,46
partial_noParalogs,61,396,1.416,53
partial_noParalogs,69,210,0.373,12
partial_noParalogs,72,480,46.215,9
partial_noParalogs,71,434,30.934,120
partial_noParalogs,72,621,36.319,126
partial_noParalogs,70,527,53.679,59
partial_noParalogs,71,564,68.205,64
partial_noParalogs,73,843,47.385,58
partial_noParalogs,57,848,18.173,60
partial_noParalogs,70,528,57.63,62
partial_noParalogs,56,306,9.926,35
partial_noParalogs,58,731,63.086,82
partial_noParalogs,72,570,62.705,16
partial_noParalogs,72,499,38.811,77
partial_noParalogs,71,249,21.687,16
partial_noParalogs,55,195,2.49,42
partial_noParalogs,69,387,21.582,57
partial_noParalogs,70,672,12.06,119
partial_noParalogs,56,282,5.395,57
partial_noParalogs,73,591,47.883,32
partial_noParalogs,70,434,59.147,44
partial_noParalogs,68,225,16.765,31
partial_noParalogs,73,1224,42.113,102
partial_noParalogs,65,1078,53.268,149
partial_noParalogs,73,934,39.28,170
partial_noParalogs,67,862,35.786,184
partial_noParalogs,66,735,44.75,118
partial_noParalogs,57,183,14.639,7
partial_noParalogs,73,1190,51.231,246
partial_noParalogs,72,999,61.899,120
partial_noParalogs,68,123,0.287,5
partial_noParalogs,72,702,66.115,61
partial_noParalogs,64,147,0.128,12
partial_noParalogs,70,430,20.505,101
partial_noParalogs,70,465,25.926,40
partial_noParalogs,62,459,27.156,46
partial_noParalogs,71,1026,53.793,53
partial_noParalogs,62,531,28.167,34
partial_noParalogs,58,584,37.816,225
partial_noParalogs,69,921,47.123,130
partial_noParalogs,54,261,12.367,28
partial_noParalogs,63,114,0,7
partial_noParalogs,66,1032,52.92,150
partial_noParalogs,61,173,18.781,20
partial_noParalogs,73,837,22.861,165
partial_noParalogs,71,560,36.884,111
partial_noParalogs,72,609,57.54,102
partial_noParalogs,71,1214,58.028,68
partial_noParalogs,72,1215,21.42,116
partial_noParalogs,71,243,26.482,43
partial_noParalogs,73,537,43.82,73
partial_noParalogs,71,778,25.35,158
partial_noParalogs,65,270,22,31
partial_noParalogs,73,570,8.003,38
partial_noParalogs,70,819,66.886,142
partial_noParalogs,55,318,34.648,65
partial_noParalogs,71,377,18.71,27
partial_noParalogs,66,305,47.839,34
partial_noParalogs,69,300,9.899,51
partial_noParalogs,73,1017,40.179,323
partial_noParalogs,59,207,11.938,15
partial_noParalogs,69,229,25.802,23
partial_noParalogs,73,1069,40.686,136
partial_noParalogs,70,472,40.1,30
partial_noParalogs,70,552,16.786,27
partial_noParalogs,70,267,3.467,16
partial_noParalogs,66,153,0.03,23
partial_noParalogs,69,393,29.406,35
partial_noParalogs,64,339,12.362,62
partial_noParalogs,72,186,8.871,29
partial_noParalogs,68,397,49.326,64
partial_noParalogs,71,390,59.935,80
partial_noParalogs,71,420,9.195,73
partial_noParalogs,63,631,49.128,241
partial_noParalogs,52,279,11.29,24
partial_noParalogs,72,1269,46.795,111
partial_noParalogs,61,723,23.59,120
partial_noParalogs,66,345,6.667,32
partial_noParalogs,70,372,57.293,54
partial_noParalogs,69,504,32.704,29
partial_noParalogs,55,117,0.233,29
partial_noParalogs,53,376,20.92,27
partial_noParalogs,73,740,73.06,116
partial_noParalogs,52,141,1.064,8
partial_noParalogs,64,150,0.188,16
partial_noParalogs,72,627,51.621,42
partial_noParalogs,73,1038,60.646,209
partial_noParalogs,61,263,38.684,26
partial_noParalogs,59,1459,58.705,76
partial_noParalogs,72,744,55.404,94
partial_noParalogs,71,644,29.704,72
partial_noParalogs,70,396,19.134,143
partial_noParalogs,62,456,29.213,192
partial_noParalogs,72,868,67.723,147
partial_noParalogs,72,681,51.095,34
partial_noParalogs,71,372,60.211,36
partial_noParalogs,73,1168,33.342,206
partial_noParalogs,73,429,23.719,55
partial_noParalogs,61,204,2.242,23
partial_noParalogs,70,690,5.764,67
partial_noParalogs,72,568,23.298,93
partial_noParalogs,70,1327,66.157,114
partial_noParalogs,68,519,47.322,58
partial_noParalogs,56,138,2.057,9
partial_noParalogs,72,705,25.621,99
partial_noParalogs,71,519,37.58,41
partial_noParalogs,69,418,19.128,34
partial_noParalogs,61,815,63.407,182
partial_noParalogs,71,489,63.985,36
partial_noParalogs,67,1024,54.564,196
partial_noParalogs,69,672,48.835,64
partial_noParalogs,68,625,34.148,130
partial_noParalogs,64,411,48.597,57
partial_noParalogs,72,336,12.946,49
partial_noParalogs,69,429,44.988,42
partial_noParalogs,69,836,50.999,101
partial_noParalogs,72,408,20.547,19
partial_noParalogs,71,825,52.681,82
partial_noParalogs,58,469,52.698,63
partial_noParalogs,56,346,20.231,59
partial_noParalogs,69,393,26.928,20
partial_noParalogs,52,435,58.355,79
partial_noParalogs,70,330,69.247,15
partial_noParalogs,63,147,20.311,6
partial_noParalogs,54,540,37.438,184
partial_noParalogs,68,120,41.949,10
partial_noParalogs,65,246,1.67,15
partial_noParalogs,71,552,54.692,20
partial_noParalogs,71,505,67.067,22
partial_noParalogs,72,279,35.977,29
partial_noParalogs,71,1061,58.933,92
partial_noParalogs,69,225,24.87,53
partial_noParalogs,73,1733,69.791,140
partial_noParalogs,72,1323,53.912,225
partial_noParalogs,71,362,53.638,58
partial_noParalogs,73,1006,64.905,194
partial_noParalogs,54,144,1.042,10
partial_noParalogs,58,321,10.989,30
partial_noParalogs,60,156,13.365,11
partial_noParalogs,67,186,7.992,14
partial_noParalogs,71,369,4.088,38
partial_noParalogs,69,295,20.413,51
partial_noParalogs,69,594,35.793,41
partial_noParalogs,72,1253,59.437,182
partial_noParalogs,66,777,65.397,25
partial_noParalogs,66,174,6.923,15
partial_noParalogs,69,222,22.503,16
partial_noParalogs,54,468,54.665,49
partial_noParalogs,65,696,35.106,90
partial_noParalogs,70,693,54.842,76
partial_noParalogs,71,204,25.704,60
partial_noParalogs,62,213,41.958,12
partial_noParalogs,72,423,10.165,63
partial_noParalogs,64,417,25.438,47
partial_noParalogs,63,282,9.743,27
partial_noParalogs,64,262,26.932,38
partial_noParalogs,70,312,29.821,28
partial_noParalogs,67,216,2.114,18
partial_noParalogs,71,529,67.315,20
partial_noParalogs,72,1664,58.894,280
partial_noParalogs,72,697,66.882,120
partial_noParalogs,71,339,17.512,22
partial_noParalogs,68,1270,48.824,143
partial_noParalogs,72,615,50.23,150
partial_noParalogs,72,633,38.244,87
partial_noParalogs,72,652,41.213,75
partial_noParalogs,57,255,0.268,8
partial_noParalogs,71,685,49.974,169
partial_noParalogs,64,465,32.308,85
partial_noParalogs,72,144,12.558,20
partial_noParalogs,71,516,26.138,36
partial_noParalogs,73,906,30.019,105
partial_noParalogs,61,403,27.047,68
partial_noParalogs,72,375,44.967,22
partial_noParalogs,70,249,30.912,18
partial_noParalogs,70,471,49.29,98
partial_noParalogs,70,561,54.011,49
partial_noParalogs,71,811,49.119,107
partial_noParalogs,60,195,1.538,21
partial_noParalogs,70,596,40.036,114
partial_noParalogs,68,298,23.682,20
partial_noParalogs,71,276,36.513,19
partial_noParalogs,65,660,36.336,41
partial_noParalogs,70,156,11.868,13
partial_noParalogs,64,1596,67.966,166
partial_noParalogs,53,339,37.001,31
partial_noParalogs,72,579,18.84,71
partial_noParalogs,69,237,5.283,31
partial_noParalogs,70,180,33.31,39
partial_noParalogs,67,360,28.234,81
partial_noParalogs,69,760,68.976,31
partial_noParalogs,61,135,5.246,11
partial_noParalogs,66,327,19.266,37
partial_noParalogs,66,219,17.331,46
partial_noParalogs,71,633,73.827,68
partial_noParalogs,73,616,35.114,127
partial_noParalogs,56,315,10.935,33
partial_noParalogs,73,477,53.511,19
partial_noParalogs,73,496,30.261,115
partial_noParalogs,65,1224,55.554,98
partial_noParalogs,64,141,0.199,7
partial_noParalogs,68,279,19.45,31
partial_noParalogs,60,312,1.234,17
partial_noParalogs,70,297,7.532,52
partial_noParalogs,71,378,24.916,61
partial_noParalogs,73,968,17.023,91
partial_noParalogs,64,441,46.301,22
partial_noParalogs,72,501,14.854,22
partial_noParalogs,68,1526,67.921,148
partial_noParalogs,69,408,2.163,28
partial_noParalogs,58,141,0.293,8
partial_noParalogs,65,642,40.036,97
partial_noParalogs,60,198,23.106,43
partial_noParalogs,73,1172,48.318,174
partial_noParalogs,65,513,14.899,101
partial_noParalogs,70,428,56.332,16
partial_noParalogs,72,1065,41.956,141
partial_noParalogs,67,322,18.402,14
partial_noParalogs,69,579,57.49,63
partial_noParalogs,70,386,25.422,70
partial_noParalogs,66,261,11.442,39
partial_noParalogs,71,857,66.104,78
partial_noParalogs,68,403,35.608,71
partial_noParalogs,69,207,2.184,13
partial_noParalogs,61,279,2.01,28
partial_noParalogs,61,1076,41.203,131
partial_noParalogs,73,965,48.198,255
partial_noParalogs,69,306,39.912,68
partial_noParalogs,72,612,45.084,146
partial_noParalogs,65,748,69.204,56
partial_noParalogs,56,615,51.35,25
partial_noParalogs,72,1239,48.907,231
partial_noParalogs,53,827,28.756,69
partial_noParalogs,71,453,33.719,55
partial_noParalogs,67,156,4.908,27
partial_noParalogs,60,231,2.078,9
partial_noParalogs,52,246,5.933,8
partial_noParalogs,72,396,24.726,23
partial_noParalogs,66,309,36.555,20
partial_noParalogs,70,411,14.411,19
partial_noParalogs,71,408,30.199,36
partial_noParalogs,72,174,8.836,25
partial_noParalogs,72,660,38.782,152
partial_noParalogs,72,216,40.914,20
partial_noParalogs,64,198,4.096,17
partial_noParalogs,71,555,64.469,28
partial_noParalogs,72,529,39.619,100
partial_noParalogs,69,264,1.943,12
partial_noParalogs,69,474,45.707,76
partial_noParalogs,59,930,72.253,56
partial_noParalogs,68,681,35.106,62
partial_noParalogs,71,507,56.621,52
partial_noParalogs,71,327,43.145,81
partial_noParalogs,71,278,20.721,70
partial_noParalogs,73,759,56.809,101
partial_noParalogs,67,387,4.235,45
partial_noParalogs,66,174,17.346,15
partial_noParalogs,66,276,33.053,40
partial_noParalogs,72,612,11.731,151
partial_noParalogs,72,616,42.627,38
partial_noParalogs,73,825,44.463,75
partial_noParalogs,73,1211,46.592,235
partial_noParalogs,52,294,44.604,30
partial_noParalogs,70,655,49.788,136
partial_noParalogs,52,624,8.765,36
partial_noParalogs,72,384,17.48,102
partial_noParalogs,65,770,61.536,126
partial_noParalogs,70,240,32.446,60
partial_noParalogs,64,924,58.969,88
partial_noParalogs,55,672,12.792,306
partial_noParalogs,69,822,23.887,44
partial_noParalogs,69,501,41.621,32
partial_noParalogs,68,177,29.163,11
partial_noParalogs,72,473,37.993,120
partial_noParalogs,71,809,41.994,68
partial_noParalogs,72,705,66.111,79
partial_noParalogs,73,956,60.336,139
partial_noParalogs,71,580,70.087,35
partial_noParalogs,73,711,43.824,107
partial_noParalogs,70,357,29.424,34
partial_noParalogs,71,589,45.63,56
partial_noParalogs,66,460,51.324,36
