treatment	No_of_taxa	Alignment_length	Parsimony_informative_sites	Missing_percent
noParalogs	61	845	158	37.806
noParalogs	5	483	20	44.72
noParalogs	6	228	3	1.096
noParalogs	70	134	14	14.382
noParalogs	23	252	37	19.41
noParalogs	12	237	17	1.899
noParalogs	70	636	101	55.478
noParalogs	50	387	43	35.132
noParalogs	71	909	105	40.213
noParalogs	62	234	24	1.654
noParalogs	73	498	83	44.141
noParalogs	40	283	61	23.171
noParalogs	51	171	5	5.607
noParalogs	68	828	113	42.85
noParalogs	11	180	10	10.455
noParalogs	72	504	67	10.45
noParalogs	15	620	53	7.387
noParalogs	71	405	78	11.601
noParalogs	63	576	38	4.109
noParalogs	62	590	113	41.476
noParalogs	46	444	39	42.318
noParalogs	51	444	45	6.134
noParalogs	69	396	36	9.146
noParalogs	37	539	32	27.779
noParalogs	6	213	8	9.155
noParalogs	13	441	20	7.64
noParalogs	3	225	0	24
noParalogs	72	873	170	55.952
noParalogs	44	189	31	6.674
noParalogs	41	291	40	4.652
noParalogs	11	282	58	11.315
noParalogs	13	243	6	8.832
noParalogs	13	351	16	19.461
noParalogs	72	783	151	46.823
noParalogs	67	408	36	38.093
noParalogs	71	324	13	53.365
noParalogs	5	456	4	9.342
noParalogs	73	726	63	21.674
noParalogs	71	255	138	15.128
noParalogs	71	422	122	27.158
noParalogs	52	720	59	58.021
noParalogs	60	414	37	2.174
noParalogs	68	546	38	27.836
noParalogs	70	332	59	45.189
noParalogs	13	270	53	7.009
noParalogs	6	279	8	6.989
noParalogs	4	174	1	13.362
noParalogs	71	396	40	17.83
noParalogs	5	567	40	22.116
noParalogs	68	821	247	25.725
noParalogs	8	216	8	2.083
noParalogs	65	526	96	26.321
noParalogs	3	171	0	0
noParalogs	30	489	83	15.971
noParalogs	28	323	33	8.149
noParalogs	10	303	24	6.238
noParalogs	71	472	64	40.165
noParalogs	41	213	14	3.263
noParalogs	33	276	34	6.028
noParalogs	42	474	32	57.309
noParalogs	68	444	53	52.434
noParalogs	8	1053	61	45.762
noParalogs	49	573	84	36.639
noParalogs	63	189	19	30.184
noParalogs	42	496	96	9.505
noParalogs	61	339	67	44.088
noParalogs	73	865	119	57.317
noParalogs	6	168	3	9.821
noParalogs	70	486	88	42.76
noParalogs	22	294	32	16.095
noParalogs	10	363	18	3.14
noParalogs	8	216	38	7.812
noParalogs	23	219	11	1.489
noParalogs	61	279	30	8.726
noParalogs	7	123	14	15.679
noParalogs	56	529	155	19.187
noParalogs	38	174	20	7.396
noParalogs	21	129	16	2.879
noParalogs	50	628	100	51.847
noParalogs	72	1004	125	29.814
noParalogs	29	297	12	25.078
noParalogs	30	405	129	43.309
noParalogs	65	447	24	27.042
noParalogs	72	555	33	42.868
noParalogs	65	658	60	52.093
noParalogs	59	273	36	23.673
noParalogs	13	177	34	7.432
noParalogs	27	384	44	10.59
noParalogs	69	786	140	45.984
noParalogs	72	736	136	55.322
noParalogs	45	201	10	4.411
noParalogs	72	1093	163	67.059
noParalogs	71	456	48	25.834
noParalogs	11	243	22	9.428
noParalogs	71	601	84	24.021
noParalogs	68	426	34	55.623
noParalogs	59	264	16	1.194
noParalogs	12	306	43	3.84
noParalogs	24	147	4	9.779
noParalogs	66	342	44	0.704
noParalogs	18	393	17	5.556
noParalogs	72	511	43	44.007
noParalogs	72	606	87	70.325
noParalogs	12	690	31	44.457
noParalogs	32	1001	57	49.248
noParalogs	63	333	10	5.834
noParalogs	16	282	18	4.787
noParalogs	67	453	54	3.934
noParalogs	9	255	8	7.712
noParalogs	71	772	82	52.552
noParalogs	69	442	40	59.847
noParalogs	34	270	34	16.471
noParalogs	36	1110	280	42.77
noParalogs	64	255	35	48.199
noParalogs	72	281	77	35.024
noParalogs	46	408	50	6.841
noParalogs	18	453	24	6.659
noParalogs	52	618	173	17.83
noParalogs	54	387	20	29.945
noParalogs	71	198	18	32.949
noParalogs	3	126	0	0
noParalogs	72	663	93	51.269
noParalogs	69	462	81	7.293
noParalogs	72	579	88	11.564
noParalogs	6	201	5	13.682
noParalogs	72	558	51	59.282
noParalogs	72	840	129	47.401
noParalogs	56	321	27	5.624
noParalogs	8	150	6	6.75
noParalogs	61	324	29	7.984
noParalogs	69	551	57	35.359
noParalogs	66	753	100	56.525
noParalogs	61	616	96	49.694
noParalogs	2	159	0	0
noParalogs	68	315	17	15.798
noParalogs	8	174	8	7.112
noParalogs	72	441	37	2.343
noParalogs	73	991	137	72.601
noParalogs	19	193	9	3.709
noParalogs	11	168	13	5.519
noParalogs	65	412	34	16.923
noParalogs	10	213	8	1.69
noParalogs	11	123	5	0.443
noParalogs	30	414	39	24.928
noParalogs	70	306	22	7.213
noParalogs	5	312	9	2.308
noParalogs	43	318	21	40.829
noParalogs	65	793	43	56.512
noParalogs	71	909	95	55.487
noParalogs	65	261	17	1.309
noParalogs	71	1336	69	74.869
noParalogs	59	666	148	63.918
noParalogs	36	249	18	18.407
noParalogs	3	321	0	1.558
noParalogs	23	348	29	1.274
noParalogs	42	114	4	0
noParalogs	5	117	1	4.103
noParalogs	72	615	79	2.622
noParalogs	2	189	0	21.429
noParalogs	69	303	44	0.387
noParalogs	62	207	14	7.27
noParalogs	72	369	31	1.999
noParalogs	64	246	17	1.353
noParalogs	58	649	68	51.01
noParalogs	8	618	36	15.352
noParalogs	34	147	13	6.543
noParalogs	19	1118	139	51.925
noParalogs	17	271	25	5.058
noParalogs	73	480	70	50.034
noParalogs	71	768	101	55.414
noParalogs	2	90	0	1.667
noParalogs	60	450	79	7.556
noParalogs	58	370	47	30.396
noParalogs	17	210	10	0
noParalogs	71	375	43	25.352
noParalogs	70	488	42	61.235
noParalogs	38	126	13	0.815
noParalogs	70	414	48	40.093
noParalogs	72	796	56	42.86
noParalogs	13	117	3	0
noParalogs	2	132	0	0
noParalogs	12	292	58	18.664
noParalogs	36	156	7	1.335
noParalogs	31	363	87	9.437
noParalogs	72	998	100	35.342
noParalogs	52	546	117	9.858
noParalogs	64	662	33	38.227
noParalogs	72	1469	141	52.941
noParalogs	46	360	79	9.076
noParalogs	6	444	54	32.883
noParalogs	70	559	183	16.202
noParalogs	59	377	54	34.303
noParalogs	5	279	3	37.204
noParalogs	2	591	0	19.289
noParalogs	32	609	110	23.137
noParalogs	72	959	88	53.719
noParalogs	13	210	12	0.989
noParalogs	67	330	19	54.043
noParalogs	48	1269	172	63.431
noParalogs	52	231	22	0.025
noParalogs	22	177	33	3.313
noParalogs	51	378	54	6.194
noParalogs	50	357	31	3.983
noParalogs	58	669	61	24.47
noParalogs	58	159	19	1.919
noParalogs	69	391	93	29.501
noParalogs	69	306	30	0.781
noParalogs	72	912	164	59.105
noParalogs	57	159	10	0.132
noParalogs	5	180	5	4.667
noParalogs	69	303	31	8.767
noParalogs	72	285	54	5.395
noParalogs	47	282	23	45.224
noParalogs	65	132	8	15.175
noParalogs	17	471	134	7.793
noParalogs	21	384	49	11.086
noParalogs	72	150	34	14.639
noParalogs	8	192	10	11.719
noParalogs	71	510	75	51.052
noParalogs	64	186	13	1.386
noParalogs	68	675	29	66.954
noParalogs	61	757	64	32.564
noParalogs	72	652	95	19.798
noParalogs	3	297	0	12.795
noParalogs	5	276	2	12.391
noParalogs	13	418	22	35.186
noParalogs	14	132	7	0.487
noParalogs	28	297	71	41.558
noParalogs	70	330	35	52.299
noParalogs	71	543	60	4.241
noParalogs	18	267	18	2.934
noParalogs	69	246	22	29.692
noParalogs	70	474	94	39.15
noParalogs	71	576	47	28.176
noParalogs	65	469	70	46.574
noParalogs	4	189	3	22.222
noParalogs	73	887	61	57.662
noParalogs	46	144	3	0.453
noParalogs	16	321	8	40.713
noParalogs	67	408	36	48.672
noParalogs	72	1294	309	45.991
noParalogs	3	318	0	21.069
noParalogs	21	228	17	2.569
noParalogs	65	462	28	53.357
noParalogs	73	702	152	41.629
noParalogs	5	162	5	2.593
noParalogs	72	776	184	46.66
noParalogs	70	528	82	19.83
noParalogs	4	531	6	20.339
noParalogs	60	247	21	25.344
noParalogs	62	318	22	23.676
noParalogs	18	276	16	6.099
noParalogs	72	246	24	37.026
noParalogs	42	384	42	16.22
noParalogs	7	168	8	2.551
noParalogs	70	742	70	44.985
noParalogs	69	606	28	41.089
noParalogs	24	1243	129	48.24
noParalogs	65	1153	278	49.523
noParalogs	21	378	39	37.528
noParalogs	16	519	43	4.66
noParalogs	65	150	12	0.031
noParalogs	28	126	13	6.973
noParalogs	73	780	169	47.771
noParalogs	7	414	15	11.801
noParalogs	59	463	39	16.722
noParalogs	10	204	16	0
noParalogs	25	1089	66	42.468
noParalogs	5	168	4	0
noParalogs	70	228	33	42.068
noParalogs	66	246	40	29.342
noParalogs	66	444	40	56.02
noParalogs	7	363	14	34.357
noParalogs	72	828	189	48.319
noParalogs	72	582	176	6.794
noParalogs	63	364	49	12.755
noParalogs	72	282	21	26.33
noParalogs	70	483	49	23.345
noParalogs	64	667	69	26.736
noParalogs	17	174	21	0.203
noParalogs	25	354	36	0.508
noParalogs	9	528	29	15.909
noParalogs	71	655	43	48.986
noParalogs	63	318	76	3.923
noParalogs	68	699	133	35.086
noParalogs	72	522	46	13.338
noParalogs	60	156	5	0.769
noParalogs	60	844	129	45.581
noParalogs	47	219	9	10.58
noParalogs	64	591	194	54.688
noParalogs	65	186	28	0.695
noParalogs	58	198	18	10.711
noParalogs	53	611	140	33.965
noParalogs	69	238	47	48.319
noParalogs	5	267	9	22.022
noParalogs	7	345	19	23.602
noParalogs	63	1605	220	65.513
noParalogs	4	252	0	4.167
noParalogs	4	321	6	9.346
noParalogs	72	819	78	58.908
noParalogs	5	288	5	0.208
noParalogs	4	297	0	19.697
noParalogs	73	404	54	31.988
noParalogs	73	804	74	27.428
noParalogs	69	303	25	26.216
noParalogs	3	264	0	13.258
noParalogs	67	623	97	41.187
noParalogs	35	732	101	44.438
noParalogs	3	318	0	15.409
noParalogs	22	198	66	16.667
noParalogs	41	612	205	12.243
noParalogs	71	318	28	55.341
noParalogs	57	948	43	44.148
noParalogs	11	372	17	15.029
noParalogs	65	428	39	46.826
noParalogs	71	415	63	20.798
noParalogs	73	1137	118	51.307
noParalogs	71	581	70	73.673
noParalogs	7	345	14	12.919
noParalogs	69	1170	138	59.636
noParalogs	69	189	6	14.907
noParalogs	23	222	100	3.173
noParalogs	66	872	90	59.909
noParalogs	73	418	38	56.456
noParalogs	34	852	52	28.863
noParalogs	71	414	141	38.763
noParalogs	69	713	76	66.376
noParalogs	71	739	250	23.223
noParalogs	3	327	0	10.398
noParalogs	72	489	38	47.964
noParalogs	72	538	60	59.464
noParalogs	5	216	5	8.333
noParalogs	73	381	69	33.783
noParalogs	68	273	15	0.549
noParalogs	51	232	12	22.084
noParalogs	68	429	67	18.902
noParalogs	34	873	240	34.344
noParalogs	3	258	0	10.853
noParalogs	4	504	9	11.31
noParalogs	34	174	44	0.913
noParalogs	54	660	40	46.894
noParalogs	7	306	15	4.902
noParalogs	70	771	34	64.191
noParalogs	6	228	5	3.728
noParalogs	69	574	113	39.07
noParalogs	72	804	203	42.506
noParalogs	70	516	84	23.214
noParalogs	25	276	18	7.739
noParalogs	9	297	14	28.283
noParalogs	68	528	25	51.487
noParalogs	35	480	19	47.982
noParalogs	22	177	9	3.621
noParalogs	71	836	200	41.497
noParalogs	3	192	0	0.521
noParalogs	72	255	16	1.699
noParalogs	18	195	13	8.974
noParalogs	6	153	3	5.229
noParalogs	72	642	85	46.469
noParalogs	27	408	22	7.135
noParalogs	68	371	79	34.894
noParalogs	10	384	33	5
noParalogs	12	120	7	1.667
noParalogs	71	360	20	31.033
noParalogs	6	144	15	0
noParalogs	54	1343	116	61.736
noParalogs	48	273	20	29.121
noParalogs	63	285	17	28.638
noParalogs	72	390	58	6.047
noParalogs	71	235	22	42.23
noParalogs	7	192	37	0
noParalogs	5	342	10	11.93
noParalogs	60	177	11	21.469
noParalogs	6	216	1	14.815
noParalogs	72	673	78	72.325
noParalogs	7	123	6	0
noParalogs	71	621	198	47.942
noParalogs	48	1991	231	54.505
noParalogs	72	299	29	40.454
noParalogs	60	886	96	62.257
noParalogs	4	357	1	0.21
noParalogs	62	387	55	7.339
noParalogs	37	616	74	8.481
noParalogs	72	448	83	56.641
noParalogs	38	396	28	21.83
noParalogs	35	195	10	0.527
noParalogs	14	225	31	2.286
noParalogs	7	159	13	22.102
noParalogs	72	444	56	28.735
noParalogs	9	222	38	10.811
noParalogs	53	174	13	15.973
noParalogs	64	306	40	6.48
noParalogs	31	1108	91	62.828
noParalogs	16	564	64	30.652
noParalogs	22	339	24	14.2
noParalogs	69	859	38	63.638
noParalogs	71	682	65	54.277
noParalogs	62	298	29	18.586
noParalogs	69	753	58	9.874
noParalogs	70	616	180	43.054
noParalogs	28	201	20	16.844
noParalogs	12	171	11	1.608
noParalogs	63	763	132	29.196
noParalogs	71	714	48	55.202
noParalogs	68	459	79	2.922
noParalogs	51	681	99	17.12
noParalogs	72	627	62	49.09
noParalogs	68	951	125	52.853
noParalogs	71	781	69	65.229
noParalogs	4	153	0	0
noParalogs	2	456	0	7.237
noParalogs	7	132	11	0
noParalogs	4	222	0	1.689
noParalogs	71	712	71	72.826
noParalogs	13	393	55	30.006
noParalogs	6	442	21	31.335
noParalogs	71	318	44	6.378
noParalogs	52	324	14	55.627
noParalogs	73	1029	61	47.37
noParalogs	36	471	106	9.855
noParalogs	57	2036	211	54.906
noParalogs	73	1119	232	35.851
noParalogs	71	403	46	56.845
noParalogs	26	591	33	4.764
noParalogs	3	279	0	5.376
noParalogs	73	432	46	31.031
noParalogs	73	681	83	44.391
noParalogs	71	304	29	2.734
noParalogs	71	301	25	30.892
noParalogs	73	451	106	18.583
noParalogs	69	228	51	27.517
noParalogs	22	558	23	5.474
noParalogs	67	507	129	42.798
noParalogs	56	843	30	67.514
noParalogs	71	450	45	48.404
noParalogs	8	371	17	29.144
noParalogs	63	648	125	52.094
noParalogs	72	573	37	40.46
noParalogs	11	354	19	10.786
noParalogs	68	370	52	7.353
noParalogs	72	1473	158	65.677
noParalogs	69	315	14	4.362
noParalogs	22	813	58	39.165
noParalogs	58	639	82	39.501
noParalogs	55	615	177	40.151
noParalogs	52	1662	200	65.926
noParalogs	2	423	0	3.901
noParalogs	66	450	72	52.828
noParalogs	5	465	9	8
noParalogs	71	1535	157	52.335
noParalogs	10	390	28	7.308
noParalogs	59	411	77	60.299
noParalogs	8	231	5	0.812
noParalogs	63	1536	164	67.897
noParalogs	8	1098	80	19.74
noParalogs	70	459	31	29.972
noParalogs	71	606	52	23.985
noParalogs	71	1171	76	58.558
noParalogs	3	726	0	0
noParalogs	72	963	97	69.873
noParalogs	72	708	132	41.172
noParalogs	28	318	66	23.686
noParalogs	44	321	38	0.977
noParalogs	5	501	1	31.737
noParalogs	72	608	107	43.983
noParalogs	6	393	45	9.542
noParalogs	63	348	51	46.059
noParalogs	68	1929	258	55.953
noParalogs	72	385	98	17.284
noParalogs	70	454	53	43.87
noParalogs	4	213	1	15.845
noParalogs	3	159	0	10.063
noParalogs	65	147	3	1.256
noParalogs	68	604	38	45.634
noParalogs	73	781	142	55.5
noParalogs	52	324	75	8.155
noParalogs	70	1017	116	53.397
noParalogs	72	616	219	16.714
noParalogs	4	261	1	13.218
noParalogs	54	197	19	26.509
noParalogs	6	540	40	34.907
noParalogs	57	132	10	0.638
noParalogs	72	285	33	19.649
noParalogs	17	431	69	4.272
noParalogs	72	399	58	54.626
noParalogs	71	450	35	39.08
noParalogs	72	1110	46	50.195
noParalogs	72	1547	152	49.289
noParalogs	31	525	22	54.249
noParalogs	6	270	27	19.074
noParalogs	71	888	131	65.579
noParalogs	72	678	35	53.036
noParalogs	18	120	25	7.917
noParalogs	11	117	10	4.895
noParalogs	20	260	11	4.404
noParalogs	70	1234	77	76.449
noParalogs	25	171	12	1.053
noParalogs	65	147	11	1.256
noParalogs	7	276	10	14.286
noParalogs	72	735	87	26.712
noParalogs	13	318	43	5.37
noParalogs	72	348	36	38.314
noParalogs	72	426	30	34.341
noParalogs	29	1832	195	62.912
noParalogs	21	321	15	42.145
noParalogs	44	485	71	9.831
noParalogs	73	459	50	14.066
noParalogs	8	228	13	3.618
noParalogs	14	852	118	24.12
noParalogs	4	672	10	31.585
noParalogs	61	212	20	37.388
noParalogs	19	204	21	6.966
noParalogs	19	336	53	7.472
noParalogs	69	588	61	28.705
noParalogs	52	528	25	37.839
noParalogs	71	606	46	41.361
noParalogs	4	420	2	0
noParalogs	61	396	53	1.416
noParalogs	9	198	9	5.892
noParalogs	69	210	12	0.373
noParalogs	72	480	9	46.215
noParalogs	71	434	120	30.934
noParalogs	16	273	77	9.821
noParalogs	72	621	126	36.319
noParalogs	8	543	18	51.174
noParalogs	70	527	59	53.679
noParalogs	71	564	64	68.205
noParalogs	73	843	58	47.385
noParalogs	57	848	60	18.173
noParalogs	16	735	31	10.995
noParalogs	70	528	62	57.63
noParalogs	5	231	2	2.338
noParalogs	56	306	35	9.926
noParalogs	58	731	82	63.086
noParalogs	7	258	8	8.14
noParalogs	16	210	26	2.054
noParalogs	7	690	27	49.006
noParalogs	72	570	16	62.705
noParalogs	14	156	12	0.824
noParalogs	10	276	14	2.609
noParalogs	72	499	77	38.811
noParalogs	5	150	1	0
noParalogs	71	249	16	21.687
noParalogs	55	195	42	2.49
noParalogs	69	387	57	21.582
noParalogs	70	672	119	12.06
noParalogs	50	357	53	31.731
noParalogs	56	282	57	5.395
noParalogs	73	591	32	47.883
noParalogs	46	415	48	21.126
noParalogs	47	438	46	15.098
noParalogs	70	434	44	59.147
noParalogs	68	225	31	16.765
noParalogs	73	1224	102	42.113
noParalogs	13	353	39	35.672
noParalogs	41	1284	200	55.38
noParalogs	65	1078	149	53.268
noParalogs	73	934	170	39.28
noParalogs	24	690	44	12.554
noParalogs	19	462	42	10.663
noParalogs	3	252	0	7.937
noParalogs	67	862	184	35.786
noParalogs	66	735	118	44.75
noParalogs	57	183	7	14.639
noParalogs	73	1190	246	51.231
noParalogs	43	339	65	35.892
noParalogs	11	512	61	47.159
noParalogs	72	999	120	61.899
noParalogs	68	123	5	0.287
noParalogs	72	702	61	66.115
noParalogs	64	147	12	0.128
noParalogs	38	495	63	12.297
noParalogs	24	159	22	0.472
noParalogs	70	430	101	20.505
noParalogs	48	379	98	43.849
noParalogs	70	465	40	25.926
noParalogs	62	459	46	27.156
noParalogs	71	1026	53	53.793
noParalogs	62	531	34	28.167
noParalogs	58	584	225	37.816
noParalogs	69	921	130	47.123
noParalogs	16	291	10	3.222
noParalogs	54	261	28	12.367
noParalogs	15	283	19	3.392
noParalogs	19	114	2	2.493
noParalogs	63	114	7	0
noParalogs	18	204	8	18.464
noParalogs	66	1032	150	52.92
noParalogs	61	173	20	18.781
noParalogs	3	165	0	0
noParalogs	73	837	165	22.861
noParalogs	36	414	56	21.236
noParalogs	45	201	14	2.355
noParalogs	71	560	111	36.884
noParalogs	35	150	9	0.171
noParalogs	39	295	25	28.083
noParalogs	15	186	24	18.925
noParalogs	72	609	102	57.54
noParalogs	9	507	34	4.799
noParalogs	71	1214	68	58.028
noParalogs	29	264	13	2.273
noParalogs	72	1215	116	21.42
noParalogs	71	243	43	26.482
noParalogs	73	537	73	43.82
noParalogs	48	696	64	5.55
noParalogs	8	219	14	6.849
noParalogs	18	234	14	4.131
noParalogs	71	778	158	25.35
noParalogs	13	159	46	0
noParalogs	65	270	31	22
noParalogs	73	570	38	8.003
noParalogs	11	351	22	23.621
noParalogs	7	332	38	15.835
noParalogs	70	819	142	66.886
noParalogs	33	618	102	6.443
noParalogs	55	318	65	34.648
noParalogs	6	263	2	29.087
noParalogs	49	123	38	0.796
noParalogs	18	249	15	4.351
noParalogs	46	504	35	14.027
noParalogs	71	377	27	18.71
noParalogs	66	305	34	47.839
noParalogs	19	303	30	8.077
noParalogs	24	183	18	5.191
noParalogs	13	186	13	9.429
noParalogs	49	354	90	11.259
noParalogs	69	300	51	9.899
noParalogs	9	186	29	0.717
noParalogs	3	246	0	16.667
noParalogs	73	1017	323	40.179
noParalogs	59	207	15	11.938
noParalogs	69	229	23	25.802
noParalogs	73	1069	136	40.686
noParalogs	20	646	35	31.014
noParalogs	70	472	30	40.1
noParalogs	2	114	0	0
noParalogs	70	552	27	16.786
noParalogs	20	360	40	9.792
noParalogs	70	267	16	3.467
noParalogs	66	153	23	0.03
noParalogs	69	393	35	29.406
noParalogs	28	114	26	0
noParalogs	64	339	62	12.362
noParalogs	72	186	29	8.871
noParalogs	68	397	64	49.326
noParalogs	27	399	23	36.229
noParalogs	22	186	31	0.806
noParalogs	71	390	80	59.935
noParalogs	49	193	23	45.183
noParalogs	71	420	73	9.195
noParalogs	4	297	9	0
noParalogs	33	252	23	1.984
noParalogs	7	540	5	15.079
noParalogs	63	631	241	49.128
noParalogs	3	123	0	1.626
noParalogs	3	114	0	0.877
noParalogs	35	216	13	0.754
noParalogs	52	279	24	11.29
noParalogs	72	1269	111	46.795
noParalogs	32	234	12	23.878
noParalogs	61	723	120	23.59
noParalogs	66	345	32	6.667
noParalogs	70	372	54	57.293
noParalogs	69	504	29	32.704
noParalogs	10	774	92	20.698
noParalogs	55	117	29	0.233
noParalogs	53	376	27	20.92
noParalogs	73	740	116	73.06
noParalogs	52	141	8	1.064
noParalogs	64	150	16	0.188
noParalogs	72	627	42	51.621
noParalogs	73	1038	209	60.646
noParalogs	61	263	26	38.684
noParalogs	59	1459	76	58.705
noParalogs	3	270	0	11.852
noParalogs	37	180	21	0
noParalogs	72	744	94	55.404
noParalogs	71	644	72	29.704
noParalogs	70	396	143	19.134
noParalogs	62	456	192	29.213
noParalogs	72	868	147	67.723
noParalogs	36	204	22	0.408
noParalogs	50	1722	55	67.436
noParalogs	2	162	0	0.926
noParalogs	2	117	0	2.564
noParalogs	72	681	34	51.095
noParalogs	4	174	4	0
noParalogs	4	138	0	0.543
noParalogs	71	372	36	60.211
noParalogs	14	141	4	3.343
noParalogs	73	1168	206	33.342
noParalogs	3	204	0	25.98
noParalogs	73	429	55	23.719
noParalogs	61	204	23	2.242
noParalogs	24	726	119	51.222
noParalogs	70	690	67	5.764
noParalogs	72	568	93	23.298
noParalogs	50	213	34	6.648
noParalogs	70	1327	114	66.157
noParalogs	2	147	0	2.041
noParalogs	12	282	21	8.599
noParalogs	35	114	3	0.075
noParalogs	68	519	58	47.322
noParalogs	13	571	24	24.869
noParalogs	56	138	9	2.057
noParalogs	7	210	26	6.531
noParalogs	72	705	99	25.621
noParalogs	48	321	61	34.229
noParalogs	71	519	41	37.58
noParalogs	69	418	34	19.128
noParalogs	15	367	20	45.232
noParalogs	61	815	182	63.407
noParalogs	46	490	85	15.657
noParalogs	71	489	36	63.985
noParalogs	25	1232	80	51.318
noParalogs	48	303	30	1.63
noParalogs	67	1024	196	54.564
noParalogs	4	282	7	13.564
noParalogs	19	411	46	11.871
noParalogs	44	351	21	2.04
noParalogs	69	672	64	48.835
noParalogs	68	625	130	34.148
noParalogs	22	156	13	0
noParalogs	64	411	57	48.597
noParalogs	72	336	49	12.946
noParalogs	69	429	42	44.988
noParalogs	9	240	19	0.694
noParalogs	16	696	57	11.288
noParalogs	31	432	139	12.858
noParalogs	69	836	101	50.999
noParalogs	9	135	4	6.667
noParalogs	2	330	0	21.818
noParalogs	72	408	19	20.547
noParalogs	71	825	82	52.681
noParalogs	35	174	9	2.759
noParalogs	50	303	43	42.337
noParalogs	58	469	63	52.698
noParalogs	56	346	59	20.231
noParalogs	69	393	20	26.928
noParalogs	19	303	40	9.797
noParalogs	52	435	79	58.355
noParalogs	21	459	72	16.091
noParalogs	30	468	77	19.829
noParalogs	9	279	15	0
noParalogs	70	330	15	69.247
noParalogs	63	147	6	20.311
noParalogs	4	264	2	11.932
noParalogs	54	540	184	37.438
noParalogs	68	120	10	41.949
noParalogs	35	252	13	2.177
noParalogs	65	246	15	1.67
noParalogs	10	330	33	9
noParalogs	71	552	20	54.692
noParalogs	71	505	22	67.067
noParalogs	72	279	29	35.977
noParalogs	22	120	5	1.705
noParalogs	18	2049	262	57.988
noParalogs	71	1061	92	58.933
noParalogs	69	225	53	24.87
noParalogs	42	186	8	0.384
noParalogs	24	261	15	15.517
noParalogs	73	1733	140	69.791
noParalogs	72	1323	225	53.912
noParalogs	71	362	58	53.638
noParalogs	37	944	46	36.57
noParalogs	9	153	20	8.279
noParalogs	9	219	12	3.805
noParalogs	73	1006	194	64.905
noParalogs	54	144	10	1.042
noParalogs	58	321	30	10.989
noParalogs	3	384	0	4.167
noParalogs	60	156	11	13.365
noParalogs	67	186	14	7.992
noParalogs	19	213	4	48.925
noParalogs	13	309	31	10.904
noParalogs	47	150	7	0.511
noParalogs	21	121	13	2.715
noParalogs	20	315	17	5.095
noParalogs	71	369	38	4.088
noParalogs	69	295	51	20.413
noParalogs	69	594	41	35.793
noParalogs	72	1253	182	59.437
noParalogs	8	270	11	7.083
noParalogs	10	237	29	11.772
noParalogs	25	633	49	51.374
noParalogs	36	441	39	6.784
noParalogs	20	408	27	7.684
noParalogs	66	777	25	65.397
noParalogs	40	738	53	38.659
noParalogs	49	1082	170	57.375
noParalogs	49	366	48	47.825
noParalogs	66	174	15	6.923
noParalogs	69	222	16	22.503
noParalogs	54	468	49	54.665
noParalogs	65	696	90	35.106
noParalogs	70	693	76	54.842
noParalogs	6	162	7	0
noParalogs	26	663	48	16.498
noParalogs	23	144	28	3.714
noParalogs	71	204	60	25.704
noParalogs	12	447	88	11.857
noParalogs	62	213	12	41.958
noParalogs	22	114	11	3.828
noParalogs	14	207	27	7.453
noParalogs	72	423	63	10.165
noParalogs	50	234	44	29.179
noParalogs	41	312	64	11.257
noParalogs	29	467	100	34.741
noParalogs	23	434	178	28.952
noParalogs	64	417	47	25.438
noParalogs	63	282	27	9.743
noParalogs	64	262	38	26.932
noParalogs	70	312	28	29.821
noParalogs	22	303	57	15.797
noParalogs	7	171	7	6.266
noParalogs	67	216	18	2.114
noParalogs	71	529	20	67.315
noParalogs	72	1664	280	58.894
noParalogs	72	697	120	66.882
noParalogs	71	339	22	17.512
noParalogs	68	1270	143	48.824
noParalogs	72	615	150	50.23
noParalogs	72	633	87	38.244
noParalogs	72	652	75	41.213
noParalogs	57	255	8	0.268
noParalogs	71	685	169	49.974
noParalogs	64	465	85	32.308
noParalogs	45	303	55	6.711
noParalogs	72	144	20	12.558
noParalogs	71	516	36	26.138
noParalogs	36	600	77	23.681
noParalogs	73	906	105	30.019
noParalogs	19	177	33	6.869
noParalogs	7	297	19	10.678
noParalogs	5	387	0	50.388
noParalogs	31	570	27	40.781
noParalogs	46	402	19	74.173
noParalogs	61	403	68	27.047
noParalogs	72	375	22	44.967
noParalogs	70	249	18	30.912
noParalogs	43	411	54	26.413
noParalogs	49	177	19	5.396
noParalogs	70	471	98	49.29
noParalogs	11	340	24	20.107
noParalogs	33	432	39	12.689
noParalogs	70	561	49	54.011
noParalogs	71	811	107	49.119
noParalogs	60	195	21	1.538
noParalogs	3	165	0	1.212
noParalogs	7	243	10	3.351
noParalogs	43	222	47	19.642
noParalogs	70	596	114	40.036
noParalogs	68	298	20	23.682
noParalogs	71	276	19	36.513
noParalogs	29	171	11	1.391
noParalogs	65	660	41	36.336
noParalogs	70	156	13	11.868
noParalogs	5	264	21	0
noParalogs	64	1596	166	67.966
noParalogs	45	720	64	64.491
noParalogs	53	339	31	37.001
noParalogs	34	171	21	1.806
noParalogs	72	579	71	18.84
noParalogs	69	237	31	5.283
noParalogs	39	576	105	29.367
noParalogs	6	135	2	6.296
noParalogs	21	723	174	7.765
noParalogs	39	551	51	18.442
noParalogs	70	180	39	33.31
noParalogs	67	360	81	28.234
noParalogs	69	760	31	68.976
noParalogs	61	135	11	5.246
noParalogs	8	162	12	1.157
noParalogs	66	327	37	19.266
