node_label	count0	count1	count2	topo0	topo1	topo2
QS60	70	0	0	((Eremanthus_erythropappus,Lychnophora_morii),(Eremanthus_capitatus_E2873,Eremanthus_uniflorus_E2874));	((Eremanthus_erythropappus,Eremanthus_capitatus_E2873),(Lychnophora_morii,Eremanthus_uniflorus_E2874));	((Eremanthus_erythropappus,Eremanthus_uniflorus_E2874),(Eremanthus_capitatus_E2873,Lychnophora_morii));
QS61	64	0	29	((Eremanthus_capitatus_E2873,Lychnophoraitacambirensis),(Eremanthus_reticulatus_E2876,Piptolepispabstii));	((Eremanthus_capitatus_E2873,Eremanthus_reticulatus_E2876),(Lychnophoraitacambirensis,Piptolepispabstii));	((Eremanthus_capitatus_E2873,Piptolepispabstii),(Eremanthus_reticulatus_E2876,Lychnophoraitacambirensis));
QS62	46	44	0	((Eremanthus_reticulatus_E2876,Lychnophorasalicifolia),(Eremanthus_incanus,Eremanthus_auriculatus));	((Eremanthus_reticulatus_E2876,Eremanthus_incanus),(Lychnophorasalicifolia,Eremanthus_auriculatus));	((Eremanthus_reticulatus_E2876,Eremanthus_auriculatus),(Eremanthus_incanus,Lychnophorasalicifolia));
QS63	60	0	33	((Eremanthus_incanus,Lychnophora_granmogolensis),(Eremanthus_auriculatus,Piptolepispabstii));	((Eremanthus_incanus,Eremanthus_auriculatus),(Lychnophora_granmogolensis,Piptolepispabstii));	((Eremanthus_incanus,Piptolepispabstii),(Eremanthus_auriculatus,Lychnophora_granmogolensis));
QS64	65	1	2	((Eremanthus_auriculatus,Piptolepisbuxoides),(Piptolepisrosmarinifolia,Piptolepispabstii));	((Eremanthus_auriculatus,Piptolepisrosmarinifolia),(Piptolepisbuxoides,Piptolepispabstii));	((Eremanthus_auriculatus,Piptolepispabstii),(Piptolepisrosmarinifolia,Piptolepisbuxoides));
QS65	80	4	3	((Eremanthus_uniflorus_E2874,Piptolepisleptospermoides),(Lychnophora_mellosilvae,Eremanthus_veadeiroensis_E2872));	((Eremanthus_uniflorus_E2874,Lychnophora_mellosilvae),(Piptolepisleptospermoides,Eremanthus_veadeiroensis_E2872));	((Eremanthus_uniflorus_E2874,Eremanthus_veadeiroensis_E2872),(Lychnophora_mellosilvae,Piptolepisleptospermoides));
QS66	84	0	11	((Eremanthus_veadeiroensis_E2872,Eremanthus_elaeagnus_E2875),(Lychnophora_santosii,Lychnophorellabishopii));	((Eremanthus_veadeiroensis_E2872,Lychnophora_santosii),(Eremanthus_elaeagnus_E2875,Lychnophorellabishopii));	((Eremanthus_veadeiroensis_E2872,Lychnophorellabishopii),(Lychnophora_santosii,Eremanthus_elaeagnus_E2875));
QS67	100	0	0	((Lychnophorellabishopii,Lychnophoracandelabrum),(Lychnophorella_leucodendron_cor,Lychnophora_santosii));	((Lychnophorellabishopii,Lychnophorella_leucodendron_cor),(Lychnophoracandelabrum,Lychnophora_santosii));	((Lychnophorellabishopii,Lychnophora_santosii),(Lychnophorella_leucodendron_cor,Lychnophoracandelabrum));
QS68	100	0	0	((Lychnophora_santosii,Piptolepisprocumbens),(Eremanthushatschbachii,Lychnophorellabishopii));	((Lychnophora_santosii,Eremanthushatschbachii),(Piptolepisprocumbens,Lychnophorellabishopii));	((Lychnophora_santosii,Lychnophorellabishopii),(Eremanthushatschbachii,Piptolepisprocumbens));
QS69	48	1	37	((Eremanthushatschbachii,Piptolepismonticola),(Lychnophora_mellosilvae,Lychnophorellabishopii));	((Eremanthushatschbachii,Lychnophora_mellosilvae),(Piptolepismonticola,Lychnophorellabishopii));	((Eremanthushatschbachii,Lychnophorellabishopii),(Lychnophora_mellosilvae,Piptolepismonticola));
QS70	53	7	0	((Lychnophora_mellosilvae,Piptolepisglaziouana),(Lychnophorellaregis,Lychnophorellabishopii));	((Lychnophora_mellosilvae,Lychnophorellaregis),(Piptolepisglaziouana,Lychnophorellabishopii));	((Lychnophora_mellosilvae,Lychnophorellabishopii),(Lychnophorellaregis,Piptolepisglaziouana));
