treatment,support values,node number
Astral total bs10,1,12
Astral total bs10,1,13
Astral total bs10,1,14
Astral total bs10,0.78,15
Astral total bs10,1,16
Astral total bs10,0.92,17
Astral total bs10,1,18
Astral total bs10,0.74,19
Astral total bs10,0.6,20
Astral total bs10,1,21
Astral total bs10,1,22
Astral total bs10,0.81,23
Astral total bs10,0.88,24
Astral total bs10,0.99,25
Astral total bs10,0.96,26
Astral total bs10,0.89,27
Astral total bs10,1,28
Astral total bs10,1,29
Astral total bs10,0.97,30
Astral total bs10,1,31
Astral total bs10,0.56,32
Astral total bs10,1,33
Astral total bs10,0.76,34
Astral total bs10,0.6,35
Astral total bs10,0.84,36
Astral total bs10,0.71,37
Astral total bs10,0.93,38
Astral total bs10,0.46,39
Astral total bs10,0.61,40
Astral total bs10,0.42,41
Astral total bs10,0.97,42
Astral total bs10,0.71,43
Astral total bs10,0.57,44
Astral total bs10,0.97,45
Astral total bs10,0.76,46
Astral total bs10,0.79,47
Astral total bs10,0.99,48
Astral total bs10,1,49
Astral total bs10,1,50
Astral total bs10,1,51
Astral total bs10,1,52
Astral total bs10,0.84,53
Astral total bs10,0.75,54
Astral total bs10,0.83,55
Astral total bs10,0.25,56
Astral total bs10,1,57
Astral total bs10,1,58
Astral total bs10,1,59
Astral total bs10,1,60
Astral total bs10,0.78,61
Astral total bs10,0.97,62
Astral total bs10,1,63
Astral total bs10,1,64
Astral total bs10,0.58,65
Astral total bs10,0.49,66
Astral total bs10,0.35,67
Astral total bs10,0.99,68
Astral total bs10,1,69
Astral total bs10,1,70
Concat 68p,0.75,1
Concat 68p,0.63,2
Concat 68p,0.51,3
Concat 68p,1,4
Concat 68p,1,5
Concat 68p,1,6
Concat 68p,0.58,7
Concat 68p,0.52,8
Concat 68p,1,9
Concat 68p,0.75,10
Concat 68p,1,11
Concat 68p,0.45,12
Concat 68p,0.41,13
Concat 68p,0.32,14
Concat 68p,0.08,15
Concat 68p,0.18,16
Concat 68p,0.77,17
Concat 68p,1,18
Concat 68p,0.71,19
Concat 68p,0.89,20
Concat 68p,0.93,21
Concat 68p,0.91,22
Concat 68p,1,23
Concat 68p,1,24
Concat 68p,1,25
Concat 68p,1,26
Concat 68p,0.78,27
Concat 68p,1,28
Concat 68p,0.83,29
Concat 68p,0.73,30
Concat 68p,0.67,31
Concat 68p,0.85,32
Concat 68p,0.91,33
Concat 68p,1,34
Concat 68p,1,35
Concat 68p,0.89,36
Concat 68p,1,37
Concat 68p,0.92,38
Concat 68p,1,39
Concat 68p,1,40
Concat 68p,0.93,41
Concat 68p,0.93,42
Concat 68p,0.69,43
Concat 68p,0.9,44
Concat 68p,0.79,45
Concat 68p,0.79,46
Concat 68p,0.67,47
Concat 68p,0.51,48
Concat 68p,1,49
Concat 68p,0.7,50
Concat 68p,0.89,51
Concat 68p,0.65,52
Concat 68p,0.67,53
Concat 68p,0.66,54
Concat 68p,0.55,55
Concat 68p,0.56,56
Concat 68p,0.99,57
Concat 68p,0.58,58
Concat 68p,0.33,59
Concat 68p,0.95,60
Concat 68p,0.83,61
Concat 68p,0.55,62
Concat 68p,0.47,63
Concat 68p,0.76,64
Concat 68p,1,65
Concat 68p,1,66
Concat 68p,0.69,67
Concat 68p,1,68
Concat 68p,0.99,69
Concat 68p,0.69,70
Concat total,0.79,1
Concat total,0.84,2
Concat total,0.39,3
Concat total,0.84,4
Concat total,0.53,5
Concat total,0.86,6
Concat total,0.66,7
Concat total,0.84,8
Concat total,1,9
Concat total,1,10
Concat total,1,11
Concat total,1,12
Concat total,1,13
Concat total,1,14
Concat total,0.7,15
Concat total,1,16
Concat total,1,17
Concat total,1,18
Concat total,0.77,19
Concat total,0.84,20
Concat total,0.65,21
Concat total,1,22
Concat total,0.91,23
Concat total,1,24
Concat total,1,25
Concat total,0.98,26
Concat total,1,27
Concat total,0.79,28
Concat total,1,29
Concat total,1,30
Concat total,0.66,31
Concat total,1,32
Concat total,1,33
Concat total,1,34
Concat total,1,35
Concat total,0.98,36
Concat total,1,37
Concat total,1,38
Concat total,1,39
Concat total,1,40
Concat total,0.61,41
Concat total,0.83,42
Concat total,1,43
Concat total,0.37,44
Concat total,0.57,45
Concat total,0.36,46
Concat total,0.97,47
Concat total,1,48
Concat total,0.23,49
Concat total,0.74,50
Concat total,0.83,51
Concat total,1,52
Concat total,1,53
Concat total,1,54
Concat total,0.49,55
Concat total,0.4,56
Concat total,1,57
Concat total,0.79,58
Concat total,0.46,59
Concat total,0.89,60
Concat total,1,61
Concat total,0.97,62
Concat total,1,63
Concat total,1,64
Concat total,0.99,65
Concat total,0.73,66
Concat total,0.51,67
Concat total,1,68
Concat total,0.6,69
Concat total,0.7,70
